epochs,train_loss,val_loss,train_acc,val_acc
1,1.483319,1.391574,0.458756,0.4992
2,1.351016,1.336822,0.515956,0.519
3,1.243145,1.293737,0.556578,0.5456
4,1.157569,1.210288,0.587067,0.5658
5,1.089897,1.189135,0.614111,0.578
6,1.028414,1.154908,0.634044,0.6082
7,0.991939,1.121907,0.6486,0.6118
8,0.936896,1.144807,0.665756,0.6078
9,0.907127,1.1388,0.681022,0.61
10,0.866996,1.161739,0.689267,0.6098
11,0.831042,1.184886,0.7034,0.6176
12,0.782157,1.169279,0.716489,0.6134
13,0.76998,1.188608,0.725778,0.6112
14,0.738636,1.191334,0.733133,0.6102
15,0.713775,1.253992,0.744444,0.608
16,0.669486,1.270415,0.754511,0.604
17,0.661307,1.282485,0.760844,0.6066
18,0.636643,1.313339,0.766511,0.6096
19,0.620312,1.298636,0.777133,0.6024
20,0.577048,1.338949,0.785911,0.597
21,0.567973,1.40358,0.792756,0.5946
22,0.554729,1.493891,0.795156,0.5874
23,0.546667,1.457968,0.798378,0.6052
24,0.541756,1.48819,0.804778,0.6094
25,0.517221,1.559745,0.808844,0.596
26,0.515784,1.595945,0.814911,0.5924
27,0.48605,1.601019,0.820044,0.5886
28,0.48162,1.688479,0.824711,0.5784
29,0.458696,1.619913,0.826533,0.5814
